,Total Return,Annualized Return,Annualized Vol,Sharpe,Max Drawdown,Average Turnover
BTC/USDT,1.6392032112290966,0.1618122911130908,0.6160566319684221,0.26265814328801024,-1.3465959575441693,0.02291692394545102
ETH/USDT,2.196441741184042,0.19672143141693632,0.7944531397269612,0.24761867198932064,-1.1994484679488553,0.022564084469770478
